,Drug1,Drug1,Drug1,Drug1,Drug2,Drug2,Drug2,Drug2,Drug3,Drug3,Drug3,Drug3
Compound_16875,883.268905866673,572.105403158747,807.524504314805,944.214164545104,1209.78204795036,1151.89167477591,1216.55069528257,1087.96116889586,1177.54956412035,721.821109557995,899.392085435068,1121.12760066059
Compound_86005,1719.4013300207,1178.5129112885,1137.46753818006,1386.83138842566,860.523063530027,813.84923582932,1006.91002322979,734.550478407009,1117.13990558407,1017.86857986915,678.558837592348,810.493127615459
Compound_79800,767.963277527452,692.753755510478,603.360971474957,942.586053974467,1093.84947235164,1251.9552832289,1371.81749558536,1092.87821434214,738.15110067948,760.221806273421,881.489905549195,947.04642709225
Compound_12617,893.928638278444,899.996677820761,736.592385874299,917.051180142485,878.404895917939,1275.39599443995,967.183785527103,1421.84360376172,863.693787493219,1284.05580698903,1034.72618482245,1212.56553586354
Compound_6581,1314.99953853385,1044.06523076017,1202.55361931616,1141.84661046248,1032.50173270827,1242.67142804539,755.226956628626,895.893063516699,931.38018270909,869.383765150925,1057.78464910722,926.225749863357
Compound_91367,1296.20428158605,1179.03059182145,1054.15801591224,1129.58654900182,847.493654626461,925.628113849943,1067.79404761113,884.291062996536,795.034486836063,671.461499881246,736.787231123786,894.565499924123
Compound_85026,881.22161216109,814.077586925823,969.917909787789,807.341472695497,733.513834548337,1112.60894746506,1159.11674564684,1101.24136088322,987.576649849912,1102.56105212654,905.20184303544,1112.50398860373
Compound_73390,855.829624996989,670.403771795922,791.911870120922,1000.50734743923,1085.0599380706,1077.25915077099,1604.2770474516,968.173921737908,1040.91369605832,935.259778347931,800.453788811856,1369.00268517056
Compound_66377,619.420700992994,756.418662168658,675.607096863279,862.023692281642,782.743462360776,1052.22668695247,882.284071463967,745.219560132974,703.946611676754,1223.81026223202,1031.66316633036,918.386654581938
Compound_49765,963.683189014233,997.97057813815,1223.59584876152,1245.12037145325,950.559497472817,1223.76370378236,813.223054033504,665.286990958508,749.78730445622,995.058385215959,794.329589546555,765.274934953421
Compound_77900,1081.12099810019,1016.10043489268,815.1129860232,903.660076408068,1190.39074104633,1073.3104086464,1070.30788993128,1160.55628905443,1243.53277540598,1303.13885766255,851.804413573575,1367.37851393192
Compound_27065,1102.15647675956,1028.04001660328,1258.05756328497,1112.25404253303,984.451888647274,871.642052674876,764.273439168511,786.53485630445,1273.28214385332,1046.84140039492,931.083250813204,672.022137514453
Compound_36859,1234.29440265949,1164.37734177579,1046.214569478,1146.71791540945,651.817089514461,912.137216720932,1088.00399728297,891.025731448935,620.727960310529,1230.82427151196,1029.17691328446,626.044934836268
Compound_23207,1325.09042390838,1029.34683948206,1182.38570846544,1193.48398223792,873.028856404663,930.144166604698,1029.36695729058,861.225107417842,1183.96398822931,793.453584782969,554.818213044827,787.876327907113
Compound_47475,1130.99442270165,1227.17286616084,1300.35874492123,1262.38656406779,1167.80341538995,1337.24350235001,817.142760918181,1120.34579779212,1057.43838345384,703.182777113362,905.359730108822,989.675147022941
Compound_26073,871.598542772782,883.377615882835,888.203613320194,515.640195401336,999.583653400682,1052.69995995227,1093.01281847592,1005.33154059467,909.129542084108,1312.75896852802,1055.11913956865,1074.24656773254
Compound_40650,1306.63192492987,1093.40470938014,1219.83948682557,1183.34263545107,605.470336918351,1074.943800147,1070.22138413635,1163.92741487517,1228.45976397318,904.677146037352,1041.48543649874,966.894957513814
Compound_41591,1133.54350726392,1040.7426066293,1025.26652759458,966.303956659932,960.913648097016,988.946791819554,787.934152125421,925.501127482411,999.363110580201,885.131396045095,675.149637300076,849.804370822108
Compound_32082,628.254911738252,812.467706648426,804.837885299055,935.22477734761,1096.94195991645,1011.63419623518,959.039859378666,1011.15216497638,1418.36226211053,1221.39889224845,1143.60861647876,953.393999467698
Compound_78231,1181.45299821193,987.255256484578,1050.95275377261,1084.92494954228,733.320171350996,1056.86023720993,667.014526704231,1134.42827560787,1082.57121620947,841.907035882306,840.596770341373,884.256976982315
Compound_53793,1237.95252120285,1050.88960572231,1281.26010385149,1258.52935139814,935.422175604691,897.197134784013,1072.72780412793,835.767676420443,885.764151276308,753.13489955689,992.735744736784,704.217517570884
Compound_13945,1183.8021452469,1190.70665663444,1139.70936496222,1103.17244447681,1009.41379921793,989.112245937127,927.30946443251,441.22853710944,798.805283552862,1253.25142829331,963.081459055841,1117.53579399989
Compound_57851,1215.66494699532,1070.31200583815,1108.65968659631,1265.75007624048,939.106895563774,724.309775360357,1212.4674544558,522.419235351255,1191.35251712926,928.080224900792,953.768434661927,714.362475621121
Compound_49966,1077.8915767421,1118.2937380941,952.344326381662,1225.04685427888,494.703944932885,473.514944082981,792.231787923717,1023.64570166706,859.022756601344,1136.5265453526,693.303391888466,1009.95102506318
Compound_57159,860.064199716605,997.021501960175,795.596739407915,836.144825802479,954.538929556604,874.924385800621,1167.18917818271,1005.15605288914,1227.5409587978,1057.27429216313,866.920947636265,1165.88517145547
Compound_30098,1129.39913882949,1329.07060810436,1101.9416050626,1115.96323127464,972.672990084121,1078.52964705959,1162.03237688276,825.592308444252,904.49866421858,793.02921594286,1026.18780738845,1032.33677602833
Compound_56648,1477.6449807618,1254.89780207072,1399.42667591564,1100.11237255377,1118.06939552015,926.847525955956,847.956170725922,962.623978097967,1115.59258095858,991.774565890223,1139.69997309673,848.101939983951
Compound_92316,890.5789038696,778.412766352483,833.099885932547,859.393395454671,1010.45134242282,1004.63389136491,1015.57146471843,1235.8158180589,996.501090264655,929.085179531016,837.596701467277,737.316898402157
Compound_61639,1316.70960145262,1089.068772143,1346.40690592622,1049.17531725047,1004.45652843328,760.908719894234,815.072177786225,729.978819920465,1152.48852241484,1064.08685122855,1034.29090132317,1148.22444628637
Compound_36093,645.451139305449,891.461231510053,973.399611220511,870.256529938415,1382.25469953133,1155.24416058322,1149.60251348812,938.253504021542,1166.10580054332,1276.89397511707,1253.06258177111,921.887584235708
Compound_23773,1241.67806676912,1193.10245469334,1160.87712015856,1072.26134074763,931.506620893943,425.360922411661,534.730573348481,874.892237002811,846.125881361038,918.18186021292,784.367458618096,1168.28079831831
Compound_29173,783.100718382172,672.800157944494,915.210040094987,835.383952710725,836.188400099537,1280.05546615627,1373.11435958494,1234.8700280886,651.053653675461,817.532460673745,1270.0993887669,1143.98093964692
Compound_50772,1118.36271726741,1199.76551399237,923.681625315585,1192.80362704346,747.328949139252,1166.29088333813,1047.71090375859,777.732659758401,892.042849492631,886.582857454037,844.314251625294,879.80908996908
Compound_35409,1274.47998222955,1051.19514669442,1243.67505736516,1051.67080159045,716.190345121871,1219.3890893127,1023.02480805586,638.504437760531,945.843997868386,1086.53746168394,495.707057977125,955.283749008047
Compound_93675,1004.64278031677,936.677243306242,949.54299094191,1047.16992613515,1167.87076191415,1170.29652269985,1472.63333729568,1154.04865781648,1045.61625976964,1212.8787669403,944.552065025801,998.993525572176
Compound_26142,1282.01658055221,1444.46358221807,1278.93112178601,1149.89310399513,794.932515504006,912.063540312658,869.327602149598,1058.28975220689,768.070846139529,829.255935197495,763.145470687671,838.654724143654
Compound_88541,608.658634369634,796.553192263535,906.54459488191,781.066883953535,886.174353282309,962.310272781119,791.577088760473,1190.21053831874,1266.20797449898,1252.33662908565,945.378926923976,685.230084417912
Compound_15624,1017.79613210314,1222.91714821245,1291.67744240225,1055.0697543978,866.916459790532,1141.02539848505,753.537172264687,697.795453733099,1115.52274186353,890.936601850522,1070.49321029132,982.549164520317
Compound_55267,969.889962578718,882.665707594332,768.065145278203,759.954718930187,860.496728098588,898.935384289825,1049.57972418781,729.419231766047,1093.53367199236,1282.56370244403,1220.21550207574,1371.90098725176
Compound_81198,1103.89887198696,1248.19701946,1231.66625797072,1355.11024109653,944.219469476749,829.336737344473,751.148545848778,978.555326793124,639.091839735392,1184.063956169,953.402237751549,1249.93182236844
Compound_19819,924.46162411842,750.890538887405,817.450558495777,899.237166926326,878.202267944898,1305.75206484462,1017.92532144698,912.389479202079,1107.59601053251,1022.19752014608,1226.72720276503,1135.45860666406
Compound_51169,1073.43631121375,961.482170813121,905.817597626839,895.07974281427,1179.17115597512,1331.01062856666,1432.32477211637,1225.51841260932,1309.79383082492,946.843914197417,840.150518364291,1026.32462584781
Compound_38229,905.251283372415,895.970845770032,594.89773031744,855.469770878878,818.243013711913,1093.37899779101,1231.02843495349,1550.09547468613,997.92578486196,1152.02694836035,956.609585118032,1002.54044165491
Compound_88705,1186.38703128602,970.604089419569,1181.63664471701,1096.54909353055,1089.74110936388,783.63909559742,1003.80905667562,573.474246563911,847.080487896677,917.522713485696,861.565590861346,749.707137313148
Compound_96476,1073.02502483435,1211.63691034991,1233.09103389518,1308.83438687528,1063.07943452087,715.260804700343,856.070095259862,1064.35705752594,1032.54071241476,834.664616056432,906.403680295393,1172.82625875329
Compound_40643,1228.51122662999,1037.63691935589,1233.06261053494,1169.66168094487,1168.34979626529,1125.93779040238,1228.60413916357,724.134400273092,722.290716923048,869.14994938956,912.26043339516,899.25228405145
Compound_34974,863.951072988898,804.093417803051,828.480023395218,774.196604553385,1238.89726749191,967.781161376582,1016.85054951096,929.210038234014,1161.13032230683,994.331326742223,915.302872594301,907.986127693998
Compound_765,812.793014452578,748.39818705519,551.812267317142,639.587050238976,874.709038784708,975.173168360987,782.822066475788,1504.78061350624,611.017384821076,916.317627641542,937.262190790889,1079.70657767369
Compound_32722,1189.84186754777,1334.93941977361,1055.49397342549,1396.0908379098,984.781266701109,804.386695405908,1032.15740471229,859.575036491869,892.326620815336,1295.65604761552,961.854871379843,656.224497522006
Compound_6959,658.886189021706,809.290307411717,836.565485043575,951.323383341665,1428.36285083742,1169.72813638619,1208.40724359527,1211.82856553699,881.565908237307,741.529279299112,862.11129911348,865.177083664061
Compound_93768,957.986911118909,1197.36554525488,936.437153763108,1308.35496853771,580.71551906541,498.989601348697,625.700855359548,687.906994312448,944.178996282979,975.608149486335,983.28035560485,1048.44475883191
Compound_36679,671.062990674403,783.626383796695,810.301246161734,950.174417287942,958.317991438336,1239.16292774604,1028.07332254316,1142.10027538404,1026.09671984177,919.127489708454,1129.92524666997,956.389384514357
Compound_66628,1134.48889175849,1434.01626188035,1177.73276608459,1045.09264643041,855.621185766435,1129.54230493146,764.144604903958,788.840849613696,915.283712843753,1081.71693322976,933.891024392559,914.040293628698
Compound_15133,796.360324456146,1054.76023472786,761.855900349693,918.68490016122,1592.07841898878,1010.90778138104,1365.32395875199,1192.0825396153,1153.72506714215,1119.78699991722,1276.31010592177,1245.67526396711
Compound_721,1069.62135113441,1047.29899933456,998.844120088343,1116.17299453852,961.685123622886,937.335593274473,853.886112840195,936.12733407769,1161.67871717028,808.356861604681,888.352653159792,779.879648946419
Compound_39867,726.295083024625,811.604854577696,729.930360925912,891.388913407418,1258.01040438083,1434.30280770681,1207.59352917952,920.162834364673,970.004811352821,954.472875655935,734.28158108128,972.851744110967
Compound_48403,938.699116463555,1107.41904122746,996.575422506573,745.533764971279,1283.41014754166,1048.24978906522,1230.76254460614,1287.43423209417,1085.0881531901,1752.64811136483,1124.10344226736,1030.15451322462
Compound_21675,865.631523449474,772.214702307014,567.2019150106,913.712501023958,1066.98690582778,1144.26505887484,1171.46208260553,910.738810684535,985.018989364289,1504.21947930296,1296.91356562977,1036.01282992087
Compound_6162,737.223970681094,629.606590837657,777.471975029574,618.263080279975,1211.17507683327,1239.1444136639,848.614130942981,608.111998839964,1110.54754119955,1259.89663180501,861.868273997053,1137.83034445779
Compound_32540,843.951355771946,995.403965550678,870.228160688112,719.036065805767,1067.21918916411,838.788400674168,966.507229691138,912.046758246914,1187.12546456516,1231.41187554484,1076.82713488494,1126.20871654297
Compound_40781,1045.93550192691,1123.27903139428,1110.0812854556,929.785528483745,1136.30451367808,1416.66600707842,1368.33255023432,1130.4252863958,1506.04952896693,1248.13156154554,1237.48588643526,976.151053755594
Compound_36401,995.902306966975,671.805242129908,924.11666571484,910.399358830197,831.490096963831,1281.95284088341,1426.9341127874,1263.72622729874,905.983436428714,1202.38679621427,978.010662099585,1135.09891992527
Compound_75942,762.983750480465,791.756377191681,653.091769750253,605.135394750698,981.029030216901,974.747046322707,1240.59603614493,1203.11079599738,1211.12063676482,1314.33786355866,1228.81567245083,971.118494411414
Compound_43780,996.276139355654,783.06727121103,881.506720545635,858.681517080983,1039.69868060856,841.168067321466,1054.80597657263,1201.17286046902,1334.16529789346,1136.24243516043,924.932992061292,1133.36832502629
Compound_94265,1252.63890439391,1150.78760833733,1110.16449484524,963.897943743082,476.049292226528,1010.91248907348,566.660429482871,1006.29951478594,761.214717260428,776.015883710948,884.054996921763,707.787044447675
Compound_36490,1222.38483008307,1227.7767543994,1280.25690168598,1192.61959740317,1088.43899487926,969.175697770361,1220.59028535919,1054.44388817897,1001.57415641998,1115.29508964281,837.0259264026,1131.12614987542
Compound_3420,759.689610475529,949.97612927912,922.459353902162,882.343973619744,1404.77006456405,1329.84286505556,1083.88711636432,1293.10166052491,1066.61367785586,999.671140545379,901.463203582923,1306.9970023962
Compound_64767,961.002106975651,1015.08110065022,874.117448430949,856.942318206231,1168.6912377104,1310.57376976009,1116.57229888444,1094.10732954603,1215.77727358261,931.963050268768,773.458265069699,1083.47416441444
Compound_66632,1111.114569523,1206.95728434116,1091.56300300982,1108.49322260852,808.173700317128,732.727058823039,952.574768520778,1153.43993864422,1164.82423423655,777.348902206002,993.288823166105,951.03455535526
Compound_72806,1198.76483259625,1311.9586551549,951.199584020324,1353.72826526749,1123.88844608476,884.640308595393,655.12880410329,929.515573700932,827.973266458336,778.175082326541,933.261991834663,900.329575875106
Compound_65096,975.349193465534,870.127408342278,854.884856333309,845.327183245535,935.690274336597,1168.39808485848,889.060814045544,848.998307374972,1274.9812143185,930.405308622516,1219.04253685637,1245.45593285209
Compound_8575,869.185706188903,874.652227872136,979.343852249575,704.239135495093,1089.31874376212,920.014532139981,1035.93696627695,1242.5819506519,989.386760850965,1048.58982650402,1246.95148320658,1118.17562730794
Compound_34686,1048.15518085845,1047.67098419743,1035.23212715196,1134.17853986891,1016.1540981696,543.519817285917,753.94202721621,918.415746315503,1051.06793604947,983.539873955889,857.102280013395,1106.53421047409
Compound_59246,898.564110065837,801.095556895849,895.732495161182,750.052849593559,1044.75552289574,1260.31208704021,1176.89231802589,980.554245752691,1047.32105715912,1017.94861160952,1088.69242510708,1071.90143235721
Compound_14127,917.953413032241,883.332142629831,701.229146838987,866.044116441843,976.601384220686,967.158900354551,1420.41573464044,1325.11182755758,970.777145114038,889.378410572982,1093.55138554595,1109.67378793491
Compound_28451,1282.57127260466,942.464761845985,1217.80310078932,1209.15670500195,880.549501409185,1127.697073863,878.498458896965,785.64443695229,965.500500386405,614.001336288663,871.350785186241,692.75393287756
Compound_29781,962.287924862411,887.192244381131,1026.98766154747,758.779961036063,759.364689323805,1244.02398127446,1230.73789954271,1382.40585025696,1222.05474671467,1041.7672600553,1082.67710963928,1191.65231751691
Compound_56552,887.724482518519,1312.65172067669,1314.46817435349,985.43317216151,1184.39753934599,756.147140342507,660.931580984882,944.058945431315,758.001801542226,622.02489593971,641.611552253463,727.773278242154
Compound_32670,961.05594212435,1035.65417636127,771.020445043092,947.061152881098,1155.96679020485,1127.70933739449,894.83347820904,858.513734941042,1139.44544282466,1416.12739773957,1427.02607265883,1077.93230139479
Compound_33174,915.771915740507,681.95053738903,991.317710691779,936.503729129547,1012.6050849918,1063.60332416768,900.702519646881,1154.9021991061,1139.54911072378,1356.65383942569,1103.81195425466,977.698209148138
Compound_59220,1112.89952859854,1024.5625395315,1147.564897669,960.611267306236,859.470563798988,868.282528811715,767.807727907247,826.396262433006,653.685006534885,977.030445216129,855.153492623161,761.60822725141
Compound_56603,1247.71266691477,1078.56161888447,1236.37689904405,1294.30660352113,707.28308612189,867.042361411425,813.944418201631,872.548565054404,736.491834640025,830.520631556545,1286.49076240675,522.965624179991
Compound_73186,1197.83023401368,1037.96052743916,958.854715451117,1006.83622094644,1027.27410331531,732.418312007175,786.737047336526,1084.72263654661,739.110677663188,371.919344283024,724.186453082744,1051.96011114586
Compound_72132,1177.16859665722,1308.41931134235,1005.67083929288,1253.98040911468,1348.45629339246,898.718669245734,673.570566436577,772.483071206031,923.113537798056,1105.89922609671,689.805125476578,893.522304370771
Compound_59796,1151.94044246705,1274.40011729385,1107.98657106787,1169.56652801024,558.546891835187,927.543557157549,1085.6858088651,1144.37651612146,1010.22139061353,1193.16254827285,796.814387060299,794.108233257282
Compound_68596,685.395597171845,912.304465333696,709.863519669774,866.316487352299,684.456518491057,966.184845631661,1206.16770299159,918.900224459109,1242.55941860191,1082.09145491363,953.588121205973,1181.75445871744
Compound_45850,984.553455784331,717.507147298231,871.954042848103,939.414145130028,1066.50346739543,1000.08387430776,925.958495201296,1235.24951562097,1240.41114410999,790.360768997593,1244.35165480262,1467.15061915868
Compound_36814,897.272521756415,777.211445897653,719.241567872173,728.665099647096,728.1298585619,779.991089041772,946.122862324496,1114.90559728251,1199.26038789992,1086.87290964283,872.558668490938,1035.3079744689
Compound_87219,1347.92619317825,1137.25102491519,1130.36923795345,1179.97675734578,782.688981948613,1097.07172699287,1162.21269913212,999.649584739494,1257.19166939334,786.983316071275,1005.45089792577,989.57171494457
Compound_85607,830.682506103038,807.69012972647,870.570660610245,888.348779874462,1159.24229695472,1071.46540992693,1319.33771110627,860.990702258854,1110.67016754763,1106.85598214492,1118.24886517491,1168.12741682516
Compound_66214,892.068736659171,774.531111326154,731.28036557932,1020.85042317728,838.189676399636,783.898196442311,1311.32222797277,1416.37876484598,1147.0593305556,1226.37540986197,1305.69743011084,1223.48255214654
Compound_78260,955.522041394174,918.933738577611,785.704196006174,693.034300179864,1454.18186129782,1042.68740826093,1113.46505485208,1243.34481789043,1046.42410013109,902.202386342635,852.073602508972,871.985108265841
Compound_29272,712.708711732274,853.554642338842,978.087304195975,818.702066238885,1196.87466040212,1308.25647509824,1298.70785058761,1385.97467490424,731.220258062085,932.590990796648,1277.03755757701,1502.93716739376
Compound_2937,1087.26104152964,1192.2136843948,1116.00507331516,1047.53236424453,1001.02213482071,632.940102492076,876.015203201255,997.451102699239,543.705742545783,1241.71509214543,820.819055269862,725.243735248549
Compound_11287,758.252152327159,856.904928139545,841.77537646724,826.692895175084,1018.87611344797,771.272797994338,1051.07754466071,754.422770340098,1347.9982959131,984.037375239827,1003.7265594008,1005.77502965058
